Id_member,Tanggal,Deskripsi_barang,Kategori
4759,2015-02-20,daging sapi,Daging-dagingan
3543,2015-11-10,wafel,Bahan dan Bumbu Makanan
2792,2015-07-29,susu sapi,Makanan dan Minuman
1929,2015-10-07,mie instan,Bahan dan Bumbu Makanan
2433,2015-08-23,susu sapi,Makanan dan Minuman
4941,2015-01-15,daging sapi,Daging-dagingan
3547,2015-07-10,margarin,Bahan dan Bumbu Makanan
1290,2015-04-24,sosis,Makanan dan Minuman
4207,2015-08-28,melon,Buah-buahan
2107,2015-01-03,kepiting,Ikan Segar
3050,2015-11-03,beras,Bahan dan Bumbu Makanan
3814,2015-07-21,daging ayam,Daging-dagingan
4875,2015-09-13,kepiting,Ikan Segar
3691,2015-08-08,mie instan,Bahan dan Bumbu Makanan
2433,2015-03-14,roti bolu,Makanan dan Minuman
4757,2015-09-01,soda,Bahan dan Bumbu Makanan
1407,2015-04-29,udang,Ikan Segar
4718,2015-12-06,bayam,Sayuran
1240,2015-04-14,kangkung,Sayuran
1792,2015-08-15,apel,Buah-buahan
4486,2015-09-11,kangkung,Sayuran
1757,2015-06-15,kerang,Ikan Segar
2186,2015-01-07,sosis,Makanan dan Minuman
3752,2015-04-15,yogurt,Makanan dan Minuman
3051,2015-11-29,bayam,Sayuran
3688,2015-10-23,sosis,Makanan dan Minuman
4676,2015-01-15,sosis,Makanan dan Minuman
2142,2015-06-25,roti bolu,Makanan dan Minuman
4939,2015-06-29,daging ayam,Daging-dagingan
1806,2015-06-07,sosis,Makanan dan Minuman
1595,2015-05-10,susu sapi,Makanan dan Minuman
2086,2015-09-03,kepiting,Ikan Segar
4251,2015-03-10,bubur instan,Makanan dan Minuman
2689,2015-04-30,sosis,Makanan dan Minuman
2560,2015-11-26,soda,Bahan dan Bumbu Makanan
2393,2015-04-17,apel,Buah-buahan
1669,2015-08-19,ikan lele,Ikan Segar
3500,2015-04-21,daging kambing,Daging-dagingan
1213,2015-03-03,daging sapi,Daging-dagingan
4598,2015-11-18,sosis,Makanan dan Minuman
1404,2015-03-05,kepiting,Ikan Segar
1758,2015-02-26,nanas,Buah-buahan
1265,2015-07-03,daging ayam,Daging-dagingan
1006,2015-06-14,sosis,Makanan dan Minuman
2779,2015-10-17,yogurt,Makanan dan Minuman
4457,2015-03-09,kacang telur,Makanan dan Minuman
2532,2015-06-07,apel,Buah-buahan
2811,2015-02-23,bawang merah,Sayuran
4004,2015-10-05,pare,Sayuran
1737,2015-09-05,bayam,Sayuran
3266,2015-10-25,soda,Bahan dan Bumbu Makanan
4981,2015-10-01,soda,Bahan dan Bumbu Makanan
1934,2015-06-08,anggur,Buah-buahan
2512,2015-01-19,cokelat,Buah-buahan
3400,2015-04-03,nanas,Buah-buahan
4301,2015-01-05,ikan bandeng,Ikan Segar
2997,2015-12-30,sosis,Makanan dan Minuman
1098,2015-05-08,sosis,Makanan dan Minuman
2208,2015-07-30,sosis,Makanan dan Minuman
3672,2015-05-28,sosis,Makanan dan Minuman
3651,2015-01-24,daging sapi,Daging-dagingan
3957,2015-05-15,minyak goreng,Bahan dan Bumbu Makanan
2986,2015-11-01,wafel,Bahan dan Bumbu Makanan
4433,2015-05-25,yogurt,Makanan dan Minuman
3822,2015-05-27,kacang telur,Makanan dan Minuman
4588,2015-04-30,susu sapi,Makanan dan Minuman
2622,2015-07-17,sosis,Makanan dan Minuman
2117,2015-02-05,mentimun,Sayuran
1780,2015-12-07,sosis,Makanan dan Minuman
3819,2015-12-04,anggur,Buah-buahan
1884,2015-11-12,sosis,Makanan dan Minuman
2595,2015-01-23,daun singkong,Sayuran
3046,2015-03-31,ikan bandeng,Ikan Segar
3228,2015-01-26,sosis organik,Makanan dan Minuman
2251,2015-06-23,daging ayam,Daging-dagingan
2368,2015-11-11,kopi,Makanan dan Minuman
2573,2015-03-01,daging bebek,Daging-dagingan
4701,2015-04-30,jagung,Sayuran
4384,2015-05-25,susu sapi,Makanan dan Minuman
1998,2015-05-18,sosis,Makanan dan Minuman
4583,2015-02-23,ikan lele,Ikan Segar
2043,2015-04-21,apel,Buah-buahan
2201,2015-05-22,melon,Buah-buahan
3522,2015-09-23,bayam,Sayuran
3922,2015-08-28,sosis,Makanan dan Minuman
2636,2015-11-09,yogurt,Makanan dan Minuman
1092,2015-07-27,sosis,Makanan dan Minuman
2711,2015-09-13,buah jeruk,Buah-buahan
3899,2015-04-22,susu sapi,Makanan dan Minuman
4372,2015-07-30,bayam,Sayuran
4576,2015-05-08,sosis,Makanan dan Minuman
4953,2015-10-10,daging sapi,Daging-dagingan
4692,2015-10-27,belut,Ikan Segar
1170,2015-12-11,stroberi,Buah-buahan
2625,2015-08-04,ikan lele,Ikan Segar
2394,2015-08-30,beras,Bahan dan Bumbu Makanan
4277,2015-02-18,susu sapi,Makanan dan Minuman
3170,2015-01-17,daging ayam,Daging-dagingan
2229,2015-10-25,lobak,Sayuran
2944,2015-01-02,yogurt,Makanan dan Minuman
2582,2015-06-03,daging ayam,Daging-dagingan
1373,2015-10-05,ikan sarden,Ikan Segar
1366,2015-10-25,kopi,Makanan dan Minuman
3469,2015-10-05,mangga,Buah-buahan
4012,2015-05-16,nastar,Makanan dan Minuman
2031,2015-02-26,sosis,Makanan dan Minuman
2459,2015-09-16,roti bolu,Makanan dan Minuman
4377,2015-02-23,nanas,Buah-buahan
1534,2015-08-13,apel,Buah-buahan
2051,2015-07-23,kucai,Sayuran
3430,2015-01-26,kentang,Sayuran
1567,2015-03-13,buah jeruk,Buah-buahan
2972,2015-05-21,susu sapi,Makanan dan Minuman
1287,2015-08-28,mentega,Bahan dan Bumbu Makanan
4776,2015-08-08,ikan lele,Ikan Segar
2271,2015-04-08,bayam,Sayuran
4657,2015-08-15,bayam,Sayuran
2344,2015-04-14,daging sapi,Daging-dagingan
1482,2015-06-07,susu sapi,Makanan dan Minuman
1278,2015-09-12,wortel,Sayuran
4831,2015-11-13,apel,Buah-buahan
1819,2015-11-11,apel,Buah-buahan
2687,2015-07-31,buah pir,Buah-buahan
4468,2015-03-24,tepung panir,Bahan dan Bumbu Makanan
4760,2015-02-04,apel,Buah-buahan
2310,2015-03-24,sosis,Makanan dan Minuman
3924,2015-07-02,wortel,Sayuran
3517,2015-11-12,kopi,Makanan dan Minuman
3164,2015-09-30,ikan lele,Ikan Segar
3245,2015-05-17,telur ayam,Bahan dan Bumbu Makanan
2629,2015-06-12,wortel,Sayuran
1347,2015-09-15,roti bolu,Makanan dan Minuman
1216,2015-08-25,daun singkong,Sayuran
4636,2015-10-04,seledri,Sayuran
1197,2015-11-22,seledri,Sayuran
4102,2015-09-23,daging kambing,Daging-dagingan
1013,2015-02-10,daging sapi,Daging-dagingan
1928,2015-08-15,buah jeruk,Buah-buahan
2064,2015-08-21,roti bolu,Makanan dan Minuman
3416,2015-11-15,sawi,Sayuran
1536,2015-05-01,wortel,Sayuran
1953,2015-09-03,susu sapi,Makanan dan Minuman
1327,2015-04-07,daging ayam,Daging-dagingan
3415,2015-05-27,susu sapi,Makanan dan Minuman
2517,2015-03-22,apel,Buah-buahan
4334,2015-12-10,buah jeruk,Buah-buahan
4515,2015-06-15,wortel,Sayuran
1527,2015-04-20,roti bolu,Makanan dan Minuman
1726,2015-02-11,nanas,Buah-buahan
4734,2015-10-02,ikan lele,Ikan Segar
2356,2015-06-15,wortel,Sayuran
2244,2015-03-29,buah jeruk,Buah-buahan
4281,2015-03-04,margarin,Bahan dan Bumbu Makanan
2977,2015-04-14,daging ayam,Daging-dagingan
2119,2015-09-24,daging sapi,Daging-dagingan
3208,2015-06-24,pare,Sayuran
2663,2015-05-18,daging sapi,Daging-dagingan
3344,2015-01-04,penyedap rasa,Bahan dan Bumbu Makanan
3592,2015-12-14,tepung beras,Bahan dan Bumbu Makanan
2106,2015-11-24,bubuk lada,Bahan dan Bumbu Makanan
3356,2015-05-23,buah jeruk,Buah-buahan
3227,2015-11-30,nanas,Buah-buahan
1505,2015-07-27,daging sapi,Daging-dagingan
1035,2015-04-24,yogurt,Makanan dan Minuman
4312,2015-12-14,sosis,Makanan dan Minuman
1253,2015-06-20,margarin,Bahan dan Bumbu Makanan
2260,2015-10-30,minyak goreng,Bahan dan Bumbu Makanan
3710,2015-08-22,sosis,Makanan dan Minuman
1846,2015-11-29,air mineral,Makanan dan Minuman
3520,2015-09-11,penyedap rasa,Bahan dan Bumbu Makanan
2816,2015-06-19,wortel,Sayuran
1051,2015-10-11,apel,Buah-buahan
1754,2015-08-07,melon,Buah-buahan
3593,2015-08-31,nanas,Buah-buahan
1421,2015-07-08,gurita,Ikan Segar
3104,2015-04-06,soda,Bahan dan Bumbu Makanan
1283,2015-05-30,penyedap rasa,Bahan dan Bumbu Makanan
1130,2015-09-18,sosis,Makanan dan Minuman
2816,2015-01-10,apel,Buah-buahan
4594,2015-06-23,ikan lele,Ikan Segar
4192,2015-12-16,daging ayam,Daging-dagingan
3208,2015-11-20,daging ayam,Daging-dagingan
1949,2015-11-04,roti bolu,Makanan dan Minuman
4268,2015-04-25,ikan kembung,Ikan Segar
2672,2015-01-17,sosis,Makanan dan Minuman
2372,2015-03-09,sosis,Makanan dan Minuman
4482,2015-07-08,bubur instan,Makanan dan Minuman
1048,2015-06-10,susu kental manis,Bahan dan Bumbu Makanan
4831,2015-02-19,yogurt,Makanan dan Minuman
3441,2015-12-04,sosis,Makanan dan Minuman
3380,2015-11-11,jahe,Bahan dan Bumbu Makanan
1654,2015-09-11,daging sapi,Daging-dagingan
2408,2015-06-21,roti bolu,Makanan dan Minuman
4699,2015-01-08,susu sapi,Makanan dan Minuman
2670,2015-04-29,beri,Buah-buahan
4292,2015-08-18,buah jeruk,Buah-buahan
4303,2015-02-22,daging sapi,Daging-dagingan
2011,2015-03-22,nanas,Buah-buahan
3657,2015-09-29,anggur,Buah-buahan
1435,2015-01-14,wortel,Sayuran
4445,2015-05-20,sosis,Makanan dan Minuman
4030,2015-08-15,alpukat,Buah-buahan
1204,2015-11-04,daging ayam,Daging-dagingan
1235,2015-01-01,sosis,Makanan dan Minuman
3984,2015-03-02,tepung tapioka,Bahan dan Bumbu Makanan
3637,2015-11-25,pare,Sayuran
1931,2015-02-07,keju,Makanan dan Minuman
4486,2015-10-23,ikan lele,Ikan Segar
4529,2015-03-01,apel,Buah-buahan
1827,2015-07-05,ikan salmon,Ikan Segar
3054,2015-05-27,ikan salmon,Ikan Segar
2524,2015-10-21,sosis,Makanan dan Minuman
1855,2015-09-11,kerang,Ikan Segar
3242,2015-02-23,sosis,Makanan dan Minuman
4431,2015-08-21,susu sapi,Makanan dan Minuman
4555,2015-07-23,nanas,Buah-buahan
4299,2015-08-02,susu sapi,Makanan dan Minuman
2905,2015-10-22,daging sapi,Daging-dagingan
3323,2015-09-12,sosis,Makanan dan Minuman
2796,2015-10-17,ikan lele,Ikan Segar
2129,2015-04-03,sosis,Makanan dan Minuman
1501,2015-08-17,kopi instan,Makanan dan Minuman
2814,2015-07-17,kerang,Ikan Segar
1105,2015-05-22,yogurt,Makanan dan Minuman
3798,2015-04-09,daging sapi,Daging-dagingan
3025,2015-04-21,sosis,Makanan dan Minuman
4592,2015-07-13,daun singkong,Sayuran
4463,2015-03-11,tepung tapioka,Bahan dan Bumbu Makanan
2916,2015-06-13,bayam,Sayuran
1838,2015-03-25,ikan lele,Ikan Segar
1126,2015-05-17,ikan lele,Ikan Segar
2800,2015-02-10,gurita,Ikan Segar
4485,2015-07-25,daging sapi,Daging-dagingan
3262,2015-08-07,nanas,Buah-buahan
4030,2015-12-22,beri,Buah-buahan
3370,2015-03-02,mangga,Buah-buahan
3489,2015-01-09,apel,Buah-buahan
2386,2015-03-01,penyedap rasa,Bahan dan Bumbu Makanan
3774,2015-02-16,daging ayam,Daging-dagingan
3818,2015-05-13,susu sapi,Makanan dan Minuman
3434,2015-10-06,mentega,Bahan dan Bumbu Makanan
3438,2015-12-27,nanas,Buah-buahan
1140,2015-01-05,sosis,Makanan dan Minuman
1051,2015-12-10,bayam,Sayuran
3071,2015-03-26,daging sapi,Daging-dagingan
3872,2015-03-28,jahe,Bahan dan Bumbu Makanan
4215,2015-06-30,margarin,Bahan dan Bumbu Makanan
3806,2015-03-15,apel,Buah-buahan
1869,2015-05-16,sosis,Makanan dan Minuman
1668,2015-05-05,roti bolu,Makanan dan Minuman
1163,2015-12-14,daging sapi,Daging-dagingan
1664,2014-01-10,roti bolu,Makanan dan Minuman
3942,2014-12-16,kerang,Ikan Segar
2638,2014-10-10,jahe,Bahan dan Bumbu Makanan
4735,2014-10-10,cokelat,Buah-buahan
3745,2014-09-12,sosis,Makanan dan Minuman
1817,2014-11-15,daging sapi,Daging-dagingan
2864,2014-10-16,beri,Buah-buahan
1748,2014-08-14,telur ayam,Bahan dan Bumbu Makanan
3360,2014-08-30,soda,Bahan dan Bumbu Makanan
1849,2014-06-10,susu sapi,Makanan dan Minuman
3438,2014-11-06,daging ayam,Daging-dagingan
4594,2014-05-28,susu sapi,Makanan dan Minuman
1632,2014-02-16,roti cokelat,Makanan dan Minuman
4297,2014-08-29,sosis,Makanan dan Minuman
4539,2014-04-14,sosis,Makanan dan Minuman
4762,2014-06-25,nanas,Buah-buahan
4153,2014-02-14,sosis,Makanan dan Minuman
1500,2014-06-20,kangkung,Sayuran
1895,2014-07-22,sosis,Makanan dan Minuman
1466,2014-03-02,buah jeruk,Buah-buahan
2233,2014-04-24,apel,Buah-buahan
3057,2014-01-28,daging ayam,Daging-dagingan
3308,2014-08-21,air mineral,Makanan dan Minuman
3241,2014-08-01,daging sapi,Daging-dagingan
1947,2014-02-27,wortel,Sayuran
2589,2014-04-10,anggur,Buah-buahan
3127,2014-02-25,kerang,Ikan Segar
2138,2014-05-13,melon,Buah-buahan
2495,2014-01-31,roti bolu,Makanan dan Minuman
3590,2014-03-29,wafel,Bahan dan Bumbu Makanan
4037,2014-05-05,daging sapi,Daging-dagingan
4968,2014-04-03,daging sapi,Daging-dagingan
1612,2014-08-10,mentega,Bahan dan Bumbu Makanan
4741,2014-10-12,sosis,Makanan dan Minuman
2899,2014-08-01,sosis,Makanan dan Minuman
4206,2014-09-18,cokelat,Buah-buahan
3705,2014-08-17,susu sapi uht,Makanan dan Minuman
2832,2014-07-29,sosis,Makanan dan Minuman
4054,2014-05-10,bubuk lada,Bahan dan Bumbu Makanan
1595,2014-07-17,kepiting,Ikan Segar
4821,2014-02-09,roti bolu,Makanan dan Minuman
1336,2014-01-23,roti bolu,Makanan dan Minuman
2446,2014-01-19,mie instan,Bahan dan Bumbu Makanan
1033,2014-04-21,sosis,Makanan dan Minuman
1447,2014-05-06,apel,Buah-buahan
1185,2014-08-14,daging sapi,Daging-dagingan
1410,2014-06-01,sosis,Makanan dan Minuman
4588,2014-07-28,daging sapi,Daging-dagingan
2732,2014-01-31,anggur,Buah-buahan
1473,2014-10-10,susu sapi,Makanan dan Minuman
2029,2014-10-21,daging sapi,Daging-dagingan
2799,2014-07-31,ikan kaleng,Ikan Segar
4579,2014-01-19,susu sapi,Makanan dan Minuman
1041,2014-06-13,daging ayam,Daging-dagingan
1877,2014-09-30,roti bolu,Makanan dan Minuman
4191,2014-03-14,tepung tapioka,Bahan dan Bumbu Makanan
3649,2014-07-11,sosis,Makanan dan Minuman
2706,2014-02-24,buah jeruk,Buah-buahan
3821,2014-02-26,jahe,Bahan dan Bumbu Makanan
3917,2014-02-14,sosis,Makanan dan Minuman
4464,2014-07-27,gurita,Ikan Segar
1935,2014-06-30,mayones,Bahan dan Bumbu Makanan
1783,2014-07-22,roti bolu,Makanan dan Minuman
3817,2014-08-23,daging ayam,Daging-dagingan
4162,2014-04-15,wortel,Sayuran
1653,2014-07-18,daging ayam,Daging-dagingan
1686,2014-12-04,susu sapi,Makanan dan Minuman
2549,2014-05-09,daging sapi,Daging-dagingan
1380,2014-04-22,roti bolu,Makanan dan Minuman
3315,2014-12-27,susu sapi,Makanan dan Minuman
4931,2014-02-23,soda,Bahan dan Bumbu Makanan
4849,2014-04-14,bubur instan,Makanan dan Minuman
2984,2014-07-07,susu sapi,Makanan dan Minuman
1262,2014-12-07,sosis organik,Makanan dan Minuman
2561,2014-11-27,buah jeruk,Buah-buahan
2755,2014-02-01,daging sapi,Daging-dagingan
1747,2014-07-01,sosis,Makanan dan Minuman
1913,2014-08-31,ikan lele,Ikan Segar
3090,2014-03-10,yogurt,Makanan dan Minuman
4369,2014-10-27,mentega,Bahan dan Bumbu Makanan
4872,2014-10-20,yogurt,Makanan dan Minuman
3918,2014-04-05,nastar,Makanan dan Minuman
1758,2014-09-21,roti bolu,Makanan dan Minuman
2328,2014-01-22,kepiting,Ikan Segar
3570,2014-05-06,daging sapi,Daging-dagingan
4753,2014-11-10,daging sapi,Daging-dagingan
1815,2014-04-12,ikan kembung,Ikan Segar
4372,2014-11-09,susu sapi,Makanan dan Minuman
1287,2014-08-07,daging ayam,Daging-dagingan
4938,2014-05-01,daging sapi,Daging-dagingan
4164,2014-08-09,daun singkong,Sayuran
4410,2014-05-24,roti bolu,Makanan dan Minuman
2609,2014-04-06,gurita,Ikan Segar
2293,2014-03-31,bayam,Sayuran
4049,2014-06-07,sosis,Makanan dan Minuman
2240,2014-02-10,daun singkong,Sayuran
3197,2014-01-03,sosis,Makanan dan Minuman
1223,2014-05-09,buah jeruk,Buah-buahan
2186,2014-12-04,apel,Buah-buahan
4137,2014-12-15,nastar,Makanan dan Minuman
3284,2014-03-25,susu sapi,Makanan dan Minuman
3190,2014-04-13,daun singkong,Sayuran
3059,2014-06-15,nastar,Makanan dan Minuman
2441,2014-08-28,wortel,Sayuran
3645,2014-08-22,daging ayam,Daging-dagingan
2246,2014-01-21,kepiting,Ikan Segar
4431,2014-12-06,susu sapi,Makanan dan Minuman
3047,2014-08-16,nanas,Buah-buahan
1866,2014-08-29,cokelat,Buah-buahan
3138,2014-10-13,buah jeruk,Buah-buahan
2078,2014-05-14,soda,Bahan dan Bumbu Makanan
3142,2014-06-05,soda,Bahan dan Bumbu Makanan
4262,2014-03-06,mangga,Buah-buahan
4872,2014-02-13,penyedap rasa,Bahan dan Bumbu Makanan
1985,2014-05-18,sosis,Makanan dan Minuman
2458,2014-11-20,mangga,Buah-buahan
2540,2014-01-29,mie instan,Bahan dan Bumbu Makanan
3194,2014-07-26,apel,Buah-buahan
3071,2014-04-18,susu sapi,Makanan dan Minuman
4181,2014-07-09,kacang telur,Makanan dan Minuman
2033,2014-11-29,margarin,Bahan dan Bumbu Makanan
3306,2014-11-12,soda,Bahan dan Bumbu Makanan
1658,2014-09-08,penyedap rasa,Bahan dan Bumbu Makanan
3884,2014-12-10,daging sapi,Daging-dagingan
1215,2014-07-30,anggur,Buah-buahan
2477,2014-09-30,nanas,Buah-buahan
3971,2014-04-02,marshmallow,Makanan dan Minuman
3644,2014-02-20,kepiting,Ikan Segar
1550,2014-05-05,ikan lele,Ikan Segar
1625,2014-02-09,daging sapi,Daging-dagingan
2472,2014-01-02,bayam,Sayuran
2337,2014-03-04,apel,Buah-buahan
4690,2014-02-03,daging ayam,Daging-dagingan
1748,2014-08-26,kepiting,Ikan Segar
4296,2014-12-15,sosis,Makanan dan Minuman
3529,2014-08-26,yogurt,Makanan dan Minuman
3804,2014-04-28,sosis,Makanan dan Minuman
4107,2014-05-10,sosis,Makanan dan Minuman
3727,2014-07-28,buah jeruk,Buah-buahan
1492,2014-12-20,sosis,Makanan dan Minuman
4952,2014-04-09,tepung beras,Bahan dan Bumbu Makanan
4641,2014-11-05,air mineral,Makanan dan Minuman
4716,2014-05-18,anggur,Buah-buahan
3857,2014-07-11,sosis,Makanan dan Minuman
4599,2014-03-21,sosis,Makanan dan Minuman
2906,2014-06-25,sosis,Makanan dan Minuman
3552,2014-01-27,permen,Makanan dan Minuman
4572,2014-10-30,bayam,Sayuran
4345,2014-03-19,daging sapi,Daging-dagingan
1908,2014-09-20,kepiting,Ikan Segar
4744,2014-01-31,sosis,Makanan dan Minuman
2064,2014-03-18,ikan lele,Ikan Segar
1726,2014-05-04,pare,Sayuran
2383,2014-05-25,daging sapi,Daging-dagingan
4245,2014-07-15,seledri,Sayuran
1013,2014-02-20,susu sapi,Makanan dan Minuman
2676,2014-10-01,bayam,Sayuran
4155,2014-03-09,daging sapi,Daging-dagingan
1365,2014-08-23,sosis,Makanan dan Minuman
4917,2014-05-30,sosis,Makanan dan Minuman
4686,2014-06-27,susu sapi,Makanan dan Minuman
4842,2014-05-23,sosis,Makanan dan Minuman
3673,2014-11-08,bayam,Sayuran
4214,2014-03-10,sosis,Makanan dan Minuman
3952,2014-07-27,bayam,Sayuran
3972,2014-03-04,sosis,Makanan dan Minuman
3790,2014-07-31,sosis,Makanan dan Minuman
3042,2014-04-04,melon,Buah-buahan
2567,2014-07-22,anggur,Buah-buahan
3830,2014-07-28,wortel,Sayuran
2515,2014-01-27,kerang,Ikan Segar
2545,2014-01-14,buah jeruk,Buah-buahan
1006,2014-09-04,susu sapi,Makanan dan Minuman
2590,2014-03-09,daging kambing,Daging-dagingan
1757,2014-03-30,yogurt,Makanan dan Minuman
2352,2014-03-27,apel,Buah-buahan
1136,2014-09-28,apel,Buah-buahan
3123,2014-08-07,udang,Ikan Segar
3224,2014-06-08,kerang,Ikan Segar
4642,2014-12-17,penyedap rasa,Bahan dan Bumbu Makanan
2380,2014-05-04,cokelat,Buah-buahan
4029,2014-10-27,soda,Bahan dan Bumbu Makanan
1103,2014-12-07,kacang telur,Makanan dan Minuman
4655,2014-11-14,daging sapi,Daging-dagingan
1773,2014-10-28,sosis,Makanan dan Minuman
4645,2014-10-11,yogurt,Makanan dan Minuman
1468,2014-02-10,susu sapi,Makanan dan Minuman
4383,2014-02-12,kacang telur,Makanan dan Minuman
3279,2014-07-03,sosis,Makanan dan Minuman
3025,2014-01-19,kerang,Ikan Segar
2969,2014-04-13,sosis,Makanan dan Minuman
1767,2014-02-06,sosis,Makanan dan Minuman
2830,2014-09-21,sosis,Makanan dan Minuman
3556,2014-02-04,ikan lele,Ikan Segar
1104,2014-09-05,yogurt,Makanan dan Minuman
1740,2014-11-21,daging sapi,Daging-dagingan
1844,2014-09-18,bayam,Sayuran
2544,2014-09-06,sosis,Makanan dan Minuman
3655,2014-10-05,daging sapi,Daging-dagingan
4947,2014-01-28,markisa,Buah-buahan
4002,2014-08-24,ikan lele,Ikan Segar
4951,2014-08-15,daging sapi,Daging-dagingan
3309,2014-06-06,susu sapi,Makanan dan Minuman
2289,2014-03-07,daging ayam,Daging-dagingan
2120,2014-06-07,yogurt,Makanan dan Minuman
4679,2014-06-13,nastar,Makanan dan Minuman
3220,2014-03-15,nanas,Buah-buahan
2146,2014-05-30,sosis,Makanan dan Minuman
1851,2014-12-02,melon,Buah-buahan
1889,2014-03-08,daging sapi,Daging-dagingan
2789,2014-02-11,nastar,Makanan dan Minuman
2611,2014-12-29,sosis,Makanan dan Minuman
1309,2014-12-23,beras,Bahan dan Bumbu Makanan
2259,2014-06-16,sosis,Makanan dan Minuman
2540,2014-12-16,susu sapi,Makanan dan Minuman
3539,2014-01-13,gula,Bahan dan Bumbu Makanan
4149,2014-12-05,nanas,Buah-buahan
3847,2014-08-06,sosis,Makanan dan Minuman
4285,2014-04-13,pare,Sayuran
1445,2014-04-13,sosis,Makanan dan Minuman
2701,2014-03-05,daging sapi,Daging-dagingan
1602,2014-05-29,nanas,Buah-buahan
1590,2014-01-06,buah jeruk,Buah-buahan
3704,2014-02-08,soda,Bahan dan Bumbu Makanan
4035,2014-07-14,gula,Bahan dan Bumbu Makanan
4861,2014-03-23,kerang,Ikan Segar
3757,2014-08-07,susu sapi,Makanan dan Minuman
4743,2014-07-07,kacang polong,Sayuran
4527,2014-03-16,sosis,Makanan dan Minuman
2756,2014-05-14,anggur,Buah-buahan
1432,2014-02-18,beri,Buah-buahan
3089,2014-08-20,sosis,Makanan dan Minuman
4614,2014-12-25,nastar,Makanan dan Minuman
4255,2014-02-01,sosis,Makanan dan Minuman
3426,2014-02-05,ikan lele,Ikan Segar
3343,2014-03-08,seledri,Sayuran
3550,2014-12-18,kacang telur,Makanan dan Minuman
4785,2014-08-14,cokelat,Buah-buahan
3137,2014-11-09,susu sapi,Makanan dan Minuman
4645,2014-12-13,bayam,Sayuran
1369,2014-05-05,ikan salmon,Ikan Segar
3684,2014-06-02,susu sapi,Makanan dan Minuman
4423,2014-02-25,nanas,Buah-buahan
3561,2014-05-26,sosis,Makanan dan Minuman
2625,2014-12-14,ikan lele,Ikan Segar
1218,2014-08-05,buah jeruk,Buah-buahan
2120,2014-07-07,kepiting,Ikan Segar
2332,2014-05-14,buah jeruk,Buah-buahan
2269,2014-05-01,kerang,Ikan Segar
2607,2014-11-20,tepung beras,Bahan dan Bumbu Makanan
4866,2014-09-16,sosis,Makanan dan Minuman
2723,2014-10-27,buah jeruk,Buah-buahan
3660,2014-05-19,roti bolu,Makanan dan Minuman
2407,2014-08-01,keju,Makanan dan Minuman
3670,2014-04-08,ikan sarden,Ikan Segar
3743,2014-03-07,sosis,Makanan dan Minuman
3598,2014-03-13,bayam,Sayuran
3882,2014-07-18,daging sapi,Daging-dagingan
1175,2014-02-01,kerang,Ikan Segar
2913,2014-12-14,daging ayam,Daging-dagingan
1087,2014-02-26,sosis,Makanan dan Minuman
2075,2014-06-05,sosis,Makanan dan Minuman
3034,2014-12-26,air mineral,Makanan dan Minuman
4820,2014-10-28,daun singkong,Sayuran
1651,2014-08-20,belut,Ikan Segar
3625,2014-10-17,bayam,Sayuran
3487,2014-03-25,susu sapi,Makanan dan Minuman
1729,2014-03-20,bayam,Sayuran
2803,2014-03-07,apel,Buah-buahan
3692,2014-10-19,buah jeruk,Buah-buahan
1649,2014-07-29,ikan lele,Ikan Segar
4015,2014-02-17,wortel,Sayuran
4427,2014-12-03,sosis,Makanan dan Minuman
4021,2014-10-31,yogurt,Makanan dan Minuman
1737,2014-08-28,sosis,Makanan dan Minuman
2320,2014-05-02,bubuk lada,Bahan dan Bumbu Makanan
4725,2014-08-31,bayam,Sayuran
1697,2014-01-22,sosis,Makanan dan Minuman
2341,2014-04-17,sosis,Makanan dan Minuman
1180,2014-08-24,buah jeruk,Buah-buahan
3226,2014-02-26,daging sapi,Daging-dagingan
4288,2014-09-24,soda,Bahan dan Bumbu Makanan
2181,2014-04-29,sosis,Makanan dan Minuman
2517,2014-12-05,buah jeruk,Buah-buahan
2909,2014-01-18,ikan beku,Ikan Segar
4312,2014-02-04,susu sapi,Makanan dan Minuman
4965,2014-12-23,daging sapi,Daging-dagingan
1224,2014-09-20,sosis,Makanan dan Minuman
3135,2014-06-21,bubur instan,Makanan dan Minuman
1914,2014-11-28,sereal,Bahan dan Bumbu Makanan
3589,2014-07-09,ikan beku,Ikan Segar
4274,2014-03-31,susu sapi,Makanan dan Minuman
3395,2014-03-17,soda,Bahan dan Bumbu Makanan
4086,2014-11-15,daun singkong,Sayuran
1033,2014-02-03,sosis,Makanan dan Minuman
2398,2014-07-23,yogurt,Makanan dan Minuman
3782,2014-09-16,minyak goreng,Bahan dan Bumbu Makanan
3109,2014-11-09,sosis,Makanan dan Minuman
2028,2014-08-22,daging sapi,Daging-dagingan
4963,2014-03-03,bayam,Sayuran
1043,2014-03-14,apel,Buah-buahan
4303,2014-10-24,susu sapi,Makanan dan Minuman
3282,2014-08-28,sosis,Makanan dan Minuman
3220,2014-12-13,soda,Bahan dan Bumbu Makanan
3297,2014-03-30,apel,Buah-buahan
2153,2014-12-14,minyak goreng,Bahan dan Bumbu Makanan
1065,2014-12-25,anggur,Buah-buahan
1126,2014-02-11,roti bolu,Makanan dan Minuman
1399,2014-06-02,bayam,Sayuran
2602,2014-03-01,sosis,Makanan dan Minuman
2478,2014-02-09,buah jeruk,Buah-buahan
